route; type_of_day; information; times
311;SATURDAY;None;{'Ponta Delgada': '19h30', 'São Roque': '19h35', 'Livramento': '19h40', 'Lagoa': '19h50'}
311;SATURDAY;None;{'Ponta Delgada': '21h15', 'São Roque': '21h30', 'Livramento': '21h35', 'Lagoa': '21h50'}
311;SATURDAY;None;{'Ponta Delgada': '23h15', 'São Roque': '23h30', 'Livramento': '23h35', 'Lagoa': '23h50'}
311;SATURDAY;None;{'Lagoa': '07h00', 'Livramento': '07h10', 'São Roque': '07h15', 'Ponta Delgada': '07h20'}
311;SATURDAY;None;{'Lagoa': '07h45', 'Livramento': '07h55', 'São Roque': '08h00', 'Ponta Delgada': '08h05'}
311;SATURDAY;None;{'Lagoa': '10h00', 'Livramento': '10h10', 'São Roque': '10h15', 'Ponta Delgada': '10h20'}
311;SATURDAY;None;{'Lagoa': '11h00', 'Livramento': '11h10', 'São Roque': '11h15', 'Ponta Delgada': '11h20'}
311;SATURDAY;None;{'Lagoa': '16h50', 'Livramento': '17h00', 'São Roque': '17h05', 'Ponta Delgada': '17h10'}
311;SATURDAY;None;{'Lagoa': '22h00', 'Livramento': '22h10', 'São Roque': '22h15', 'Ponta Delgada': '22h35'}
311;SUNDAY;None;{'Ponta Delgada': '17h15', 'São Roque': '17h20', 'Livramento': '17h25', 'Lagoa': '17h35'}
311;SUNDAY;None;{'Ponta Delgada': '20h00', 'São Roque': '20h05', 'Livramento': '20h15', 'Lagoa': '20h20'}
311;SUNDAY;None;{'Ponta Delgada': '21h15', 'São Roque': '21h30', 'Livramento': '21h35', 'Lagoa': '21h50'}
311;SUNDAY;None;{'Ponta Delgada': '23h15', 'São Roque': '23h30', 'Livramento': '23h35', 'Lagoa': '23h50'}
311;SUNDAY;None;{'Lagoa': '17h45', 'Livramento': '17h55', 'São Roque': '18h00', 'Ponta Delgada': '18h05'}
311;SUNDAY;None;{'Lagoa': '22h00', 'Livramento': '22h10', 'São Roque': '22h15', 'Ponta Delgada': '22h35'}
311;WEEKDAY;None;{'Ponta Delgada': '07h50', 'São Roque': '07h55', 'Livramento': '08h00', 'Lagoa': '08h15'}
311;WEEKDAY;None;{'Ponta Delgada': '08h25', 'São Roque': '08h30', 'Livramento': '08h35', 'Lagoa': '08h45'}
311;WEEKDAY;None;{'Ponta Delgada': '10h10', 'São Roque': '10h15', 'Livramento': '10h20', 'Lagoa': '10h35'}
311;WEEKDAY;None;{'Ponta Delgada': '13h00', 'São Roque': '13h05', 'Livramento': '13h10', 'Lagoa': '13h25'}
311;WEEKDAY;None;{'Ponta Delgada': '14h15', 'São Roque': '14h20', 'Livramento': '14h25', 'Lagoa': '14h40'}
311;WEEKDAY;None;{'Ponta Delgada': '15h30', 'São Roque': '15h35', 'Livramento': '15h40', 'Lagoa': '15h55'}
311;WEEKDAY;None;{'Ponta Delgada': '16h45', 'São Roque': '16h50', 'Livramento': '16h55', 'Lagoa': '17h10'}
311;WEEKDAY;None;{'Ponta Delgada': '17h00', 'São Roque': '17h05', 'Livramento': '17h10', 'Lagoa': '17h25'}
311;WEEKDAY;None;{'Ponta Delgada': '18h05', 'São Roque': '18h10', 'Livramento': '18h15', 'Lagoa': '18h30'}
311;WEEKDAY;None;{'Ponta Delgada': '18h30', 'São Roque': '18h35', 'Livramento': '18h40', 'Lagoa': '18h55'}
